checkpoint,run_name,optimizer,batch_size,learning_rate,seed,best_test_accuracy,final_test_accuracy,best_test_loss,sharpness,top_hessian_eigenvalue
adam_bs512_lr0.001_seed0.pt,adam_bs512_lr0.001_seed0,adam,512,0.001,0,0.9225,0.9149,0.23076217288970946,0.0004399135708809,64.15306854248047
adam_bs512_lr0.001_seed1.pt,adam_bs512_lr0.001_seed1,adam,512,0.001,1,0.9251,0.9182,0.22583859465122222,0.0004083484411239,71.79005432128906
adam_bs512_lr0.001_seed2.pt,adam_bs512_lr0.001_seed2,adam,512,0.001,2,0.9218,0.9105,0.2315220649242401,0.0009786784648895,82.18667602539062
adam_bs64_lr0.001_seed0.pt,adam_bs64_lr0.001_seed0,adam,64,0.001,0,0.9226,0.9142,0.22475294117927552,0.000585326552391,57.25312042236328
adam_bs64_lr0.001_seed1.pt,adam_bs64_lr0.001_seed1,adam,64,0.001,1,0.922,0.9148,0.2258545670747757,0.0003671154379844,19.392711639404297
adam_bs64_lr0.001_seed2.pt,adam_bs64_lr0.001_seed2,adam,64,0.001,2,0.9216,0.917,0.23057786164283753,0.000399400293827,26.04822540283203
sgd_bs512_lr0.05_seed0.pt,sgd_bs512_lr0.05_seed0,sgd,512,0.05,0,0.9244,0.9211,0.23551744220256807,0.0004378437995911,34.34052658081055
sgd_bs512_lr0.05_seed1.pt,sgd_bs512_lr0.05_seed1,sgd,512,0.05,1,0.9185,0.9113,0.2453783919095993,0.0007011711597442,22.46800994873047
sgd_bs512_lr0.05_seed2.pt,sgd_bs512_lr0.05_seed2,sgd,512,0.05,2,0.922,0.9188,0.23466524562835694,0.000189796090126,33.71870803833008
sgd_bs64_lr0.01_seed0.pt,sgd_bs64_lr0.01_seed0,sgd,64,0.01,0,0.9244,0.9196,0.22722782192230226,0.0008266203105449,36.74320602416992
sgd_bs64_lr0.01_seed1.pt,sgd_bs64_lr0.01_seed1,sgd,64,0.01,1,0.9262,0.9216,0.22841863040924074,0.0004183322191238,32.1255989074707
sgd_bs64_lr0.01_seed2.pt,sgd_bs64_lr0.01_seed2,sgd,64,0.01,2,0.9251,0.9196,0.23124447526931763,0.0007612273097038,29.27070999145508
