checkpoint,optimizer,batch_size,learning_rate,base_loss,worst_perturbed_loss,sharpness,mean_perturbed_loss,rho,directions,max_batches,top_hessian_eigenvalue
adam_bs512_lr0.001_seed0.pt,adam,512,0.001,0.3367430746555328,0.3371829882264137,0.0004399135708809,0.3367095471918583,0.01,10,10,64.15306854248047
adam_bs512_lr0.001_seed1.pt,adam,512,0.001,0.3204421773552894,0.3208505257964134,0.0004083484411239,0.320423006862402,0.01,10,10,71.79005432128906
adam_bs512_lr0.001_seed2.pt,adam,512,0.001,0.3529379189014435,0.353916597366333,0.0009786784648895,0.3529903176426887,0.01,10,10,82.18667602539062
adam_bs64_lr0.001_seed0.pt,adam,64,0.001,0.220553195476532,0.221138522028923,0.000585326552391,0.2206454163789749,0.01,10,10,57.25312042236328
adam_bs64_lr0.001_seed1.pt,adam,64,0.001,0.2446756154298782,0.2450427308678627,0.0003671154379844,0.2446681940555572,0.01,10,10,19.392711639404297
adam_bs64_lr0.001_seed2.pt,adam,64,0.001,0.2478825703263282,0.2482819706201553,0.000399400293827,0.2479985271394253,0.01,10,10,26.04822540283203
sgd_bs512_lr0.05_seed0.pt,sgd,512,0.05,0.36694817841053,0.3673860222101212,0.0004378437995911,0.3668518447875976,0.01,10,10,34.34052658081055
sgd_bs512_lr0.05_seed1.pt,sgd,512,0.05,0.3650383085012436,0.3657394796609878,0.0007011711597442,0.3651731863617897,0.01,10,10,22.46800994873047
sgd_bs512_lr0.05_seed2.pt,sgd,512,0.05,0.3552548795938491,0.3554446756839752,0.000189796090126,0.3552426093816757,0.01,10,10,33.71870803833008
sgd_bs64_lr0.01_seed0.pt,sgd,64,0.01,0.2560844093561172,0.2569110296666622,0.0008266203105449,0.2559507112205028,0.01,10,10,36.74320602416992
sgd_bs64_lr0.01_seed1.pt,sgd,64,0.01,0.2826511323451995,0.2830694645643234,0.0004183322191238,0.2826294122636318,0.01,10,10,32.1255989074707
sgd_bs64_lr0.01_seed2.pt,sgd,64,0.01,0.327614526450634,0.3283757537603378,0.0007612273097038,0.3277405492961406,0.01,10,10,29.27070999145508
