checkpoint,optimizer,batch_size,learning_rate,base_loss,worst_perturbed_loss,sharpness,mean_perturbed_loss,rho,directions,max_batches
adam_bs512_lr0.001_seed0.pt,adam,512,0.001,0.3367430746555328,0.33718298822641374,0.0004399135708809121,0.3367095471918583,0.01,10,10
adam_bs512_lr0.001_seed1.pt,adam,512,0.001,0.32044217735528946,0.32085052579641343,0.0004083484411239735,0.320423006862402,0.01,10,10
adam_bs512_lr0.001_seed2.pt,adam,512,0.001,0.3529379189014435,0.353916597366333,0.0009786784648895264,0.35299031764268873,0.01,10,10
adam_bs64_lr0.001_seed0.pt,adam,64,0.001,0.220553195476532,0.22113852202892303,0.0005853265523910467,0.22064541637897492,0.01,10,10
adam_bs64_lr0.001_seed1.pt,adam,64,0.001,0.24467561542987823,0.2450427308678627,0.0003671154379844832,0.24466819405555723,0.01,10,10
adam_bs64_lr0.001_seed2.pt,adam,64,0.001,0.24788257032632827,0.24828197062015533,0.000399400293827068,0.2479985271394253,0.01,10,10
sgd_bs512_lr0.05_seed0.pt,sgd,512,0.05,0.36694817841053007,0.3673860222101212,0.00043784379959110886,0.36685184478759764,0.01,10,10
sgd_bs512_lr0.05_seed1.pt,sgd,512,0.05,0.3650383085012436,0.36573947966098785,0.0007011711597442738,0.3651731863617897,0.01,10,10
sgd_bs512_lr0.05_seed2.pt,sgd,512,0.05,0.35525487959384916,0.3554446756839752,0.0001897960901260376,0.35524260938167573,0.01,10,10
sgd_bs64_lr0.01_seed0.pt,sgd,64,0.01,0.25608440935611726,0.25691102966666224,0.0008266203105449788,0.25595071122050284,0.01,10,10
sgd_bs64_lr0.01_seed1.pt,sgd,64,0.01,0.28265113234519956,0.2830694645643234,0.00041833221912385143,0.2826294122636318,0.01,10,10
sgd_bs64_lr0.01_seed2.pt,sgd,64,0.01,0.327614526450634,0.32837575376033784,0.0007612273097038491,0.32774054929614066,0.01,10,10
